protocol_id,biop_url,status,pick_url,pick_source,pubmed_url,pmid,pmcid_hint,doi_hint,candidates,cache,has_phrase,box_class,num_links_in_box
Bio-protocol-2060,https://doi.org/10.21769/BioProtoc.3071,ok,https://elifesciences.org/articles/37419,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/37419""}]",miss,True,article_box,1
Bio-protocol-2059,https://doi.org/10.21769/BioProtoc.3072,ok,https://elifesciences.org/articles/37419,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/37419""}]",miss,True,article_box,1
Bio-protocol-2062,https://doi.org/10.21769/BioProtoc.3069,ok,http://jcb.rupress.org/content/217/4/1537.long,original_box_other,,,,,"[{""url"": ""http://jcb.rupress.org/content/217/4/1537.long""}]",miss,True,article_box,1
Bio-protocol-2063,https://doi.org/10.21769/BioProtoc.3068,ok,http://www.ncbi.nlm.nih.gov/pubmed/22810896,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/22810896/,22810896,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/22810896""}]",miss,True,article_box,1
Bio-protocol-2061,https://doi.org/10.21769/BioProtoc.3070,ok,http://www.ncbi.nlm.nih.gov/pubmed/29078295,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29078295/,29078295,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29078295""}]",miss,True,article_box,1
Bio-protocol-2064,https://doi.org/10.21769/BioProtoc.3067,ok,http://www.ncbi.nlm.nih.gov/pubmed/29069773,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29069773/,29069773,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29069773""}]",miss,True,article_box,1
Bio-protocol-2067,https://doi.org/10.21769/BioProtoc.3064,ok,https://elifesciences.org/articles/24419,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/24419""}]",miss,True,article_box,1
Bio-protocol-2065,https://doi.org/10.21769/BioProtoc.3066,ok,http://www.ncbi.nlm.nih.gov/pubmed/28410991,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28410991/,28410991,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28410991""}]",miss,True,article_box,1
Bio-protocol-2066,https://doi.org/10.21769/BioProtoc.3065,ok,http://www.ncbi.nlm.nih.gov/pubmed/29182472,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29182472/,29182472,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29182472""}]",miss,True,article_box,1
Bio-protocol-2069,https://doi.org/10.21769/BioProtoc.3062,ok,http://www.ncbi.nlm.nih.gov/pubmed/29281729,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29281729/,29281729,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29281729""}]",miss,True,article_box,1
Bio-protocol-2070,https://doi.org/10.21769/BioProtoc.3061,ok,http://www.ncbi.nlm.nih.gov/pubmed/29234141,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29234141/,29234141,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29234141""}]",miss,True,article_box,1
Bio-protocol-2071,https://doi.org/10.21769/BioProtoc.3060,ok,http://www.ncbi.nlm.nih.gov/pubmed/27381440,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/27381440/,27381440,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/27381440""}]",miss,True,article_box,1
Bio-protocol-2072,https://doi.org/10.21769/BioProtoc.3059,ok,http://www.ncbi.nlm.nih.gov/pubmed/26918522,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/26918522/,26918522,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/26918522""}]",miss,True,article_box,1
Bio-protocol-2073,https://doi.org/10.21769/BioProtoc.3058,ok,https://elifesciences.org/articles/32579,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/32579""}]",miss,True,article_box,1
Bio-protocol-2077,https://doi.org/10.21769/BioProtoc.3054,no_phrase_in_page,,,,,,,[],miss,False,,0
Bio-protocol-2074,https://doi.org/10.21769/BioProtoc.3057,ok,http://www.ncbi.nlm.nih.gov/pubmed/29109277,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29109277/,29109277,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29109277""}]",miss,True,article_box,1
Bio-protocol-2075,https://doi.org/10.21769/BioProtoc.3056,ok,http://www.ncbi.nlm.nih.gov/pubmed/29337310,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29337310/,29337310,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29337310""}]",miss,True,article_box,1
Bio-protocol-2076,https://doi.org/10.21769/BioProtoc.3055,ok,http://www.ncbi.nlm.nih.gov/pubmed/28801534,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28801534/,28801534,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28801534""}]",miss,True,article_box,1
Bio-protocol-2078,https://doi.org/10.21769/BioProtoc.3053,ok,http://www.ncbi.nlm.nih.gov/pubmed/28306505,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28306505/,28306505,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28306505""}]",miss,True,article_box,1
Bio-protocol-2079,https://doi.org/10.21769/BioProtoc.3052,ok,https://www.molbiolcell.org/doi/full/10.1091/mbc.E17-05-0288?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,original_box_pubmed,https://www.molbiolcell.org/doi/full/10.1091/mbc.E17-05-0288?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,,,,"[{""url"": ""https://www.molbiolcell.org/doi/full/10.1091/mbc.E17-05-0288?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed""}]",miss,True,article_box,1
Bio-protocol-2080,https://doi.org/10.21769/BioProtoc.3051,ok,http://www.ncbi.nlm.nih.gov/pubmed/28728009,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28728009/,28728009,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28728009""}]",miss,True,article_box,1
Bio-protocol-2082,https://doi.org/10.21769/BioProtoc.3049,ok,https://elifesciences.org/articles/34469,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/34469""}]",miss,True,article_box,1
Bio-protocol-2081,https://doi.org/10.21769/BioProtoc.3050,ok,https://elifesciences.org/articles/34655,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/34655""}]",miss,True,article_box,1
Bio-protocol-2083,https://doi.org/10.21769/BioProtoc.3048,ok,http://www.ncbi.nlm.nih.gov/pubmed/29457790,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29457790/,29457790,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29457790""}]",miss,True,article_box,1
Bio-protocol-2084,https://doi.org/10.21769/BioProtoc.3047,ok,http://www.ncbi.nlm.nih.gov/pubmed/25829441,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/25829441/,25829441,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/25829441""}]",miss,True,article_box,1
Bio-protocol-2086,https://doi.org/10.21769/BioProtoc.3045,ok,http://www.ncbi.nlm.nih.gov/pubmed/26163574,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/26163574/,26163574,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/26163574""}]",miss,True,article_box,1
Bio-protocol-2089,https://doi.org/10.21769/BioProtoc.3042,ok,http://www.ncbi.nlm.nih.gov/pubmed/28306505,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/28306505/,28306505,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/28306505""}]",miss,True,article_box,1
Bio-protocol-2085,https://doi.org/10.21769/BioProtoc.3046,ok,http://www.ncbi.nlm.nih.gov/pubmed/26972009,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/26972009/,26972009,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/26972009""}]",miss,True,article_box,1
Bio-protocol-2091,https://doi.org/10.21769/BioProtoc.3040,ok,http://www.ncbi.nlm.nih.gov/pubmed/29357350,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29357350/,29357350,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29357350""}]",miss,True,article_box,1
Bio-protocol-2088,https://doi.org/10.21769/BioProtoc.3043,ok,http://www.ncbi.nlm.nih.gov/pubmed/29398363,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29398363/,29398363,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29398363""}]",miss,True,article_box,1
Bio-protocol-2090,https://doi.org/10.21769/BioProtoc.3041,ok,http://www.ncbi.nlm.nih.gov/pubmed/29752414,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29752414/,29752414,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29752414""}]",miss,True,article_box,1
Bio-protocol-2092,https://doi.org/10.21769/BioProtoc.3039,ok,http://www.ncbi.nlm.nih.gov/pubmed/29357350,original_box_pubmed,https://pubmed.ncbi.nlm.nih.gov/29357350/,29357350,,,"[{""url"": ""http://www.ncbi.nlm.nih.gov/pubmed/29357350""}]",miss,True,article_box,1
Bio-protocol-2095,https://doi.org/10.21769/BioProtoc.3036,ok,https://elifesciences.org/articles/34460,original_box_other,,,,,"[{""url"": ""https://elifesciences.org/articles/34460""}]",miss,True,article_box,1
