section_title,count
Results,13
Materials and Methods,11
Methods,6
Materials and methods,5
MATERIALS AND METHODS,5
Experimental Procedures,2
Material and methods,1
2. Materials and methods,1
Experimental procedures,1
MATERIALS AND METHODS,1
